code_uai,n_siret,type_detablissement,nom,sigle,statut,tutelle,universite_de_rattachement_libelle_et_uai,universite_de_rattachement_id_et_url_onisep,etablissements_lies_libelles,etablissements_lies_url_et_id_onisep,boite_postale,adresse,cp,commune,commune_cog,cedex,telephone,arrondissement,departement,academie,region,region_cog,longitude_x,latitude_y,journees_portes_ouvertes,langues_enseignees,url_et_id_onisep,date_creation,date_de_modification
0290051Y,19290051200018,"lycée général, technologique ou polyvalent",Lycée Tristan Corbière,,public,Ministère chargé de l'Éducation nationale,,,Lycée professionnel Tristan Corbière à Morlaix (29),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1265,BP 17149,16 rue de Kerveguen,29671,Morlaix,29151,Cedex,02 98 88 62 77,,Finistère,Rennes,Bretagne,53,-3.8211320065153,48.56903485,,"Allemand, Anglais, Breton, Espagnol, Langues et cultures de l'Antiquité : latin",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10101,06/06/2020,10/03/2026
0142081L,41398430300029,école du secteur social,Institut régional du travail social Normandie-Caen,IRTS Normandie-Caen,privé,,,,,,BP 10116,2 rue du campus,14204,Hérouville-Saint-Clair,14327,Cedex,02 31 54 42 00,,Calvados,Normandie,Normandie,28,-0.347489,49.2031,,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3688,06/06/2020,04/12/2025
0761343X,77570084200013,"lycée général, technologique ou polyvalent",Lycée privé la Châtaigneraie,,privé sous contrat,Ministère chargé de l'Éducation nationale,,,,,,2 rue Charles Schérer,76240,Le Mesnil-Esnard,76429,,02 32 86 53 00,,Seine-Maritime,Normandie,Normandie,28,1.14711,49.4145,,"Allemand, Anglais, Espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3285,06/06/2020,05/12/2025
0740054G,19740054200019,lycée professionnel,Lycée professionnel Germain Sommeiller,,public,Ministère chargé de l'Éducation nationale,,,,,,4 bis boulevard Taine,74000,Annecy,74010,,04 50 33 90 00,,Haute-Savoie,Grenoble,Auvergne-Rhône-Alpes,84,6.12994,45.9066,,"Anglais, Italien",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2870,06/06/2020,12/11/2025
0754530S,19750453300013,"lycée général, technologique ou polyvalent",Lycée polyvalent Martin Nadaud,,public,Ministère chargé de l'Éducation nationale,,,,,,23 rue de la Bidassoa,75020,Paris,75100,,01 40 33 80 50,20,Paris,Paris,Ile-de-France,11,2.39357,48.8662,,"Allemand, Anglais, Arabe, Espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15683,06/06/2020,03/01/2024
0530949U,19530039700013,"lycée général, technologique ou polyvalent",Lycée polyvalent Raoul Vadepied,,public,Ministère chargé de l'Éducation nationale,,,Collège Paul Langevin à Evron (53),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2040,,5 boulevard Henri Rossignol,53600,Evron,53097,,02 43 01 62 44,,Mayenne,Nantes,Pays de la Loire,52,-0.39818108070904,48.151781861257,,"Allemand, Anglais, Espagnol, Langues et cultures de l'Antiquité : latin",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5233,06/06/2020,12/02/2026
0831440P,19831283700018,"lycée général, technologique ou polyvalent",Lycée Albert Camus,,public,Ministère chargé de l'Éducation nationale,,,,,,560 rue Henri Giraud,83600,Fréjus,83061,,04 94 19 52 60,,Var,Nice,Provence-Alpes-Côte d'Azur,93,6.75392,43.4437,,"Allemand, Anglais, Espagnol, Italien, Langues et cultures de l'Antiquité : grec, Langues et cultures de l'Antiquité : latin",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10104,06/06/2020,23/06/2026
0711137A,19711137000015,"lycée général, technologique ou polyvalent",Lycée général et technologique Camille Claudel,,public,Ministère chargé de l'Éducation nationale,,,Collège Roger Semet à Digoin (71),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6133,BP 56,Route de Roanne,71160,Digoin,71176,,03 85 53 61 00,,Saône-et-Loire,Dijon,Bourgogne-Franche-Comté,27,3.99276,46.4758,,"Allemand, Anglais, Espagnol, Italien, Langues et cultures de l'Antiquité : latin",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13050,06/06/2020,08/04/2025
0580014A,19580014900013,"lycée général, technologique ou polyvalent",Lycée polyvalent Pierre-Gilles de Gennes,,public,Ministère chargé de l'Éducation nationale,,,,,BP 144,"4 rue du Colonel Rabier, Site général et technologique",58206,Cosne-Cours-sur-Loire,58086,Cedex,03 86 28 23 45,,Nièvre,Dijon,Bourgogne-Franche-Comté,27,2.92861,47.401,,"Allemand, Anglais, Espagnol",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8735,06/06/2020,17/02/2026
0754696X,42496935000018,école du secteur social,Institut régional du travail social Parmentier - site de Paris,IRTS,privé,Ministère des Solidarités et de la Santé,,,Institut régional du travail social Parmentier - site d'Avon à Avon (77) | Institut régional du travail social Parmentier - site de Melun à Melun (77),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.24132 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7939,,"145 avenue Parmentier, Etablissement de Paris",75010,Paris,75100,,01 73 79 51 00,10,Paris,Paris,Ile-de-France,11,2.370404,48.870844,,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14302,06/06/2020,16/04/2026
