code_uai,n_siret,type_detablissement,nom,sigle,statut,tutelle,universite_de_rattachement_libelle_et_uai,universite_de_rattachement_id_et_url_onisep,etablissements_lies_libelles,etablissements_lies_url_et_id_onisep,boite_postale,adresse,cp,commune,commune_cog,cedex,telephone,arrondissement,departement,academie,region,region_cog,longitude_x,latitude_y,journees_portes_ouvertes,url_et_id_onisep,date_creation,date_de_modification
9730308X,19973261100033,"lycée général, technologique ou polyvalent",Lycée polyvalent Élie Castor,,public,Ministère chargé de l'Éducation nationale,,,,,BP 803,1 allée boulevard Bellony,97388,Kourou,97304,,0594 22 36 94,,973 - Guyane,Guyane,Guyane,03,-52.648001241511,5.1553588,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9172,06/06/2020,05/03/2026
0771171E,19771171600013,lycée professionnel,Lycée professionnel Louis Lumière,,public,Ministère chargé de l'Éducation nationale,,,,,BP 80,4 rue Louis Lumière,77504,Chelles,77108,Cedex,01 60 93 12 10,,77 - Seine-et-Marne,Créteil,Ile-de-France,11,2.61228,48.8796,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1769,06/06/2020,03/02/2025
0750672Y,19750672800017,"lycée général, technologique ou polyvalent",École supérieure des arts appliqués Duperré,ESEAA,public,Ministère chargé de l'Éducation nationale,,,,,,11 rue Dupetit-Thouars,75003,Paris,75100,,01 42 78 59 09,03,75 - Paris,Paris,Ile-de-France,11,2.36204,48.8651,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2547,06/06/2020,17/06/2026
0442409E,13002974700156,école d'ingénieurs,École polytechnique universitaire de Nantes Université,Polytech,public,Ministère de l'Enseignement supérieur et de la Recherche,Nantes université (0442953W),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.106,École polytechnique universitaire de Nantes Université à Saint-Nazaire (44),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8062,CS 50609,Rue Christian Pauc,44306,Nantes,44109,Cedex 03,02 40 68 32 00,,44 - Loire-Atlantique,Nantes,Pays de la Loire,52,-1.51458,47.2833,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8757,06/06/2020,26/11/2025
0490067G,,autre établissement d'enseignement,École nationale supérieure d'arts et métiers - campus d'Angers,ENSAM,public,Ministère de l'Enseignement supérieur et de la Recherche,,,,,,"Rue Marie Curie, Laval Virtual Center",49100,Changé,53054,,02 41 20 73 73,,53 - Mayenne,Nantes,Pays de la Loire,52,-0.7522264,48.0875625,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19112,06/06/2020,07/01/2026
0331766R,19331766600017,université,Université Bordeaux Montaigne,,public,Ministère de l'Enseignement supérieur et de la Recherche,,,,,,Domaine universitaire,33607,Pessac,33318,Cedex,05 57 12 44 44,,33 - Gironde,Bordeaux,Nouvelle-Aquitaine,75,-0.612181,44.7944202,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.302,06/06/2020,08/01/2026
0680099N,19681166500096,école d'ingénieurs,École nationale supérieure d'ingénieurs Sud Alsace,ENSISA,public,Ministère de l'Enseignement supérieur et de la Recherche,Université de Haute Alsace Mulhouse (0681166Y),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.72,,,,12 rue des Frères Lumière,68093,Mulhouse,68224,Cedex,03 89 33 69 00,,68 - Haut-Rhin,Strasbourg,Grand Est,44,7.3107039928436,47.729177811669,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14692,06/06/2020,02/12/2025
0261459V,19381912500017,école d'ingénieurs,École nationale supérieure en systèmes avancés et réseaux - Grenoble INP-UGA,Esisar,public,Ministère de l'Enseignement supérieur et de la Recherche,Université Grenoble Alpes (0383546Y),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.490,,,CS 10054,50 rue Barthélémy de Laffemas,26902,Valence,26362,Cedex 09,04 75 75 94 00,,26 - Drôme,Grenoble,Auvergne-Rhône-Alpes,84,4.91361,44.9173,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15526,06/06/2020,14/04/2026
0772493S,,centre de formation de fonctionnaires,Académie militaire de la gendarmerie nationale,AMGN,public,Ministère des Armées,,,,,,Avenue du 13e dragons,77000,Melun,77288,Cedex,01 64 14 33 00,,77 - Seine-et-Marne,Créteil,Ile-de-France,11,2.65187,48.546,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9409,06/06/2020,25/02/2026
0756305W,13002995200012,université,Université Paris-Panthéon-Assas,,public,Ministère de l'Enseignement supérieur et de la Recherche,,,,,,12 place du Panthéon,75231,Paris,75100,Cedex 05,01 44 41 57 00,05,75 - Paris,Paris,Ile-de-France,11,2.345,48.847,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.84,06/06/2020,04/05/2026
0941953M,44263925800023,école d'ingénieurs,ESME - campus d'Ivry-sur-Seine,,privé,,,,ESME - campus de Bordeaux à Bordeaux (33) | ESME - campus de Lille à Lille (59) | ESME - campus de Lyon à Lyon (69) | ESME - campus de Paris à Paris (75),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19782 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17155 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9179 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15935,,38 rue Moliere,94200,Ivry-sur-Seine,94041,,01 56 20 62 05,,94 - Val-de-Marne,Créteil,Ile-de-France,11,2.395083,48.814472,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7854,06/06/2020,21/08/2025
