code_uai,n_siret,type_detablissement,nom,sigle,statut,tutelle,universite_de_rattachement_libelle_et_uai,universite_de_rattachement_id_et_url_onisep,etablissements_lies_libelles,etablissements_lies_url_et_id_onisep,boite_postale,adresse,cp,commune,commune_cog,cedex,telephone,arrondissement,departement,academie,region,region_cog,longitude_x,latitude_y,journees_portes_ouvertes,url_et_id_onisep,date_creation,date_de_modification
0312421N,39925215400048,école d'ingénieurs,Institut catholique d'arts et métiers - site de Toulouse,Icam,privé,,,,Institut catholique d'arts et métiers - site de Bretagne à Vannes (56) | Institut catholique d'arts et métiers - site de Grand Paris Sud à Lieusaint (77) | Institut catholique d'arts et métiers - site de Lille à Lille (59) | Institut catholique d'arts et métiers - site de Nantes à Carquefou (44) | Institut catholique d'arts et métiers - site de Strasbourg-Europe à Schiltigheim (67) | Institut catholique d'arts et métiers - site de Vendée à La Roche-sur-Yon (85),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12915 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17958 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8047 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2374 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18336 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10905,CS 97615,75 avenue de Grande-Bretagne,31076,Toulouse,31555,Cedex 03,05 34 50 50 50,,31 - Haute-Garonne,Toulouse,Occitanie,76,1.4181709,43.5986207,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18780,06/06/2020,10/09/2025
0312837R,93827139200202,école d'ingénieurs,"Université de Toulouse, sciences, ingénierie et technologie",UPSSITECH,public,Ministère de l'Enseignement supérieur et de la Recherche,Université de Toulouse (0313218E),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.61,,,,118 route de Narbonne,31062,Toulouse,31555,Cedex 09,05 61 55 75 46,,31 - Haute-Garonne,Toulouse,Occitanie,76,1.4628392,43.5631577,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19083,06/06/2020,17/02/2026
0753471R,19753471200017,autre établissement d'enseignement,Conservatoire national des arts et métiers - site de Paris,Cnam,public,Ministère de l'Enseignement supérieur et de la Recherche,Conservatoire national des arts et métiers (0753471R),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.223,,,,292 rue Saint-Martin,75141,Paris,75100,Cedex 03,01 40 27 23 30,03,75 - Paris,Paris,Ile-de-France,11,2.3554166925337,48.86678295,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.24198,20/12/2023,22/06/2026
0912318A,19750003600029,école d'ingénieurs,École nationale supérieure de techniques avancées site de Palaiseau,ENSTA,public,Ministère des Armées,Institut polytechnique de Paris - établissement expérimental (0912403T),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.276,École nationale supérieure de techniques avancées - site de Brest à Brest (29),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2383,,828 boulevard des Maréchaux,91120,Palaiseau,91477,,01 81 87 17 40,,91 - Essonne,Versailles,Ile-de-France,11,2.212573,48.717395,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8064,06/06/2020,27/05/2026
0690187D,19690187000010,école d'ingénieurs,École centrale de Lyon,ECL Lyon,public,Ministère de l'Enseignement supérieur et de la Recherche,,,Centrale Lyon ENISE (École nationale d'ingénieurs de Saint-Étienne de l'École centrale de Lyon) à Saint-Etienne (42),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9532,,36 avenue Guy de Collongue,69134,Ecully,69081,Cedex,04 72 18 60 00,,69 - Rhône,Lyon,Auvergne-Rhône-Alpes,84,4.77027,45.784,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19296,06/06/2020,30/10/2025
0333326L,51400512300062,grande école de commerce,Kedge Business School,KEDGE BS,privé,Ministère de l'Enseignement supérieur et de la Recherche,,,Kedge Business School à Mont-de-Marsan (40) | Kedge Business School à Paris (75) | Kedge Business School à Marseille (13) | Kedge Business School à Bayonne (64) | Kedge Business School à Avignon (84) | Kedge Business School à Toulon (83) | Kedge Business School à Borgo (20B),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.24003 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.22244 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18979 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12823 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18978 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1119 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18454,,"680 cours de la Libération, Domaine de Raba",33405,Talence,33522,Cedex,05 56 84 55 55,,33 - Gironde,Bordeaux,Nouvelle-Aquitaine,75,-0.60096502304077,44.796424046437,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17202,06/06/2020,19/03/2026
0490075R,78611671500065,école d'ingénieurs,École supérieure d'électronique de l'Ouest - site Angers,ESEO,privé,,,,École supérieure d'électronique de l'Ouest - site Dijon à Dijon (21) | École supérieure d'électronique de l'Ouest - site Paris-Vélizy à Vélizy-Villacoublay (78),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3616 | https://www.onisep.fr/http/redirection/etablissement/slug/ENS.21707,CS 90717,"10 boulevard Jeanneteau, ESEO Angers",49107,Angers,49007,Cedex 02,02 41 86 67 67,,49 - Maine-et-Loire,Nantes,Pays de la Loire,52,-0.550947,47.4931,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19453,06/06/2020,27/05/2026
0310150V,19310150800011,école d'architecture,École nationale supérieure d'architecture de Toulouse,ENSA,public,Ministère de la Culture et de la communication,,,,,BP 10629,83 rue Aristide Maillol,31106,Toulouse,31555,Cedex 01,05 62 11 50 50,,31 - Haute-Garonne,Toulouse,Occitanie,76,1.39721,43.5794,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9607,06/06/2020,25/06/2026
0951820M,38859163800035,école d'ingénieurs,École de biologie industrielle,EBI,privé,Ministère de l'Enseignement supérieur et de la Recherche,,,,,CS 90009,49 avenue des Genottes,95895,Cergy,95127,Cedex,01 85 76 66 90,,95 - Val-d'Oise,Versailles,Ile-de-France,11,2.03865,49.0526,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7967,06/06/2020,27/05/2026
0780412Z,19780412300028,école d'architecture,École nationale supérieure d'architecture de Versailles,,public,Ministère de la Culture et de la communication,,,,,,"5 avenue de Sceaux, Petites Ecuries du Roy",78000,Versailles,78646,,01 39 07 40 00,,78 - Yvelines,Versailles,Ile-de-France,11,2.12718,48.8018,,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5724,06/06/2020,04/03/2026
