onisep_id,name
14918,CESI école d'ingénieurs - campus de Paris Nanterre
14955,CESI école d'ingénieurs - campus de Nancy
15079,Institut supérieur des matériaux du Mans - ISMANS CESI Le Mans
15081,École européenne d'ingénieurs en génie des matériaux
15102,Direction de la formation continue et de l'apprentissage
15191,Service formation continue et alternance de l'université de Besançon
15211,Observatoire des sciences de l'Univers - Institut Pythéas
15260,Cnam Laval
15308,ESIGELEC - site de Rouen
15322,École d'ingénieurs de l'université de Toulon
15394,EDHEC Business School
15400,École européenne de chimie polymères et matériaux
15415,Cnam Grenoble
15521,Service Formation Continue Apprentissage de l'INU Champollion
15525,École de management Léonard de Vinci
15526,École nationale supérieure en systèmes avancés et réseaux - Grenoble INP-UGA
15530,École nationale supérieure d'agronomie et des industries alimentaires
15535,École nationale supérieure de géologie
15613,CESI école d'ingénieurs - campus de Pau - site d'Assat
15638,École nationale supérieure d'ingénieurs de Bretagne Sud - site de Lorient
15653,École supérieure de fonderie et de forge
15687,École nationale supérieure d'architecture Paris La Villette
15730,SKEMA Business School
15744,École de management de Normandie
15747,NEOMA Business School
15763,École pratique des hautes études - PSL
15764,Filière communication interculturelle et internationale
15804,CESI école d'ingénieurs - campus du Mans
15837,CFA SupOptique (siège administratif)
15862,Institut d'études politiques (Sciences Po Aix)
15911,Centre de préparation à l'administration générale de Lyon - Sciences Po Lyon
15927,École nationale supérieure d'arts et métiers - campus Arts et Métiers de Châlons-en-Champagne
15933,CESI école d'ingénieurs - campus de Saint-Nazaire
15938,TBS Education
15981,École polytechnique universitaire de l'université de Tours
16003,École centrale d'électronique - Groupe ECE - campus de Paris
16021,École nationale supérieure des arts appliqués et des métiers d'art
16027,CESI - campus d'Orléans
16049,HEC Paris
16070,École d'ingénieurs du littoral Côte d'Opale - site de Dunkerque
16089,CFA universitaire Alsace
16163,EPF école d'ingénieurs généralistes - site de Paris-Cachan
16186,École universitaire de kinésithérapie Centre-Val de Loire
16356,"Département études indiennes, sud-asiatiques et tibétaines"
16361,École nationale supérieure d'architecture Paris-Val de Seine
16368,ISTY UVSQ - campus de Vélizy-Villacoublay
16414,École supérieure du bois - campus de Nantes
16434,CentraleSupélec - campus de Paris-Saclay
16435,EICnam Hauts-de-France - site d'Amiens
16487,CFA de l'Université du Havre
16526,École nationale de l'aviation civile - campus de Montpellier
16550,CESI école d'ingénieurs - campus de Reims
16553,ICAM - pôle de formation professionnelle
16558,CESI - campus d'Arras
16559,Campus de Saint-Étienne de l'Institut d'Études Politiques de Lyon
16567,École polytechnique universitaire de l'université Lille
16584,EICnam Nouvelle-Aquitaine - site de Limoges
16605,CESI - campus de Caen
16609,Cnam Saint-Nazaire
16620,CESI - campus de Montpellier
16658,Cnam Angers
16666,ECAM-EPMI - site de Cergy
16681,Institut supérieur de l'automobile et des transports - site d'Auxerre
16697,Institut national des sciences appliquées Centre-Val de Loire - site de Bourges
