Etablissement,Siret,# adhérent,Conférence,UAI,Acronyme,Type de structure,Statut,Nom de marque,Type de formation,Commentaire,Campus
École Nationale Supérieure de la Police,19690189600015,953,CGE,0690189F,ENSP,EPA,Public,ENSP,Autre spécialité,,
"Ecole nationale supérieure de mécanique
  et des microtechniques",19250082500026,715,"CGE, CDEFI",0250082D,ENSMM,EPSCP,Public,SUPMICROTECH-ENSMM,Ingénieur,,
"Ecole nationale supérieure d'ingénieurs
  sud Alsace",19691166500096,711,"CGE, CDEFI",0680099N,ENSISA,,Public,,Ingénieur,,
École nationale supérieure d'ingénieurs du Mans,19720916600226, ,CDEFI,,ENSIM,,,,,,
Ecole d’ingénieurs de Limoges,19870669900461,696,"CGE, CDEFI",0875082B,ENSIL-ENSCI,EPA,Public,ENSIL-ENSCI,Ingénieur,,
"Ecole nationale supérieure d'informatique
  pour l'industrie et l'entreprise",13000214000015,710,"CGE, CDEFI",0912266U,ensIIE,EPA,Public,,Ingénieur,,
"Ecole nationale supérieure d'ingénieurs
  de Caen & Centre de Recherche",19141720300012,709,"CGE, CDEFI",0141720U,ENSICAEN,EPSCP,Public,,Ingénieur,,
"Ecole nationale supérieure des industries
  chimiques de Nancy",13001550600301,708,"CGE, CDEFI",0540113E,ENSIC,,Public,,Ingénieur,,
"Ecole Nationale Supérieure d'Ingénieur de
  Bretagne Sud - Université de Bretagne Sud",19561718800485,952,"CGE, CDEFI",0561890A,ENSIBS,EPSCP,Public,ENSIBS,Ingénieur,,
École nationale supérieure d'ingénieurs de Poitiers,19860856400375,9,"CDEFI, FU",,ENSI Poitiers,,,,,Universite de Poitiers,
"L'Ecole Nationale Supérieure en Génie des
  Technologies Industrielles",19640251500270,870 ; 64,"CGE, CDEFI, FU",0641846J,ENSGTI,EPSCP,Public,,Ingénieur,"Universite de Pau et des Pays de
  l'Adour",
"Ecole Nationale Supérieure en Génie des
  Systèmes et de l'Innovation",13001550600327,704,"CGE, CDEFI",0542307P,ENSGSI,,Public,,Ingénieur,,
Ecole Nationale Supérieure de Géologie,13001550600293,702,CGE,0540123R ,ENSG - Géologie,,Public,,Ingénieur,,
École nationale supérieure de géologie,18006701900430, ,CDEFI,,ENSG,,,,,,
École nationale supérieure d'électricité et de mécanique de Nancy,13001550600012,97,"CDEFI, FU",,ENSEM,,,,,,
"Ecole nationale supérieure d'électricité
  et de mécanique",13001550600293,701,CGE,0542221W,ENSEM,,Public,,Ingénieur,,
"Ecole nationale supérieure de
  l'électronique et de ses applications",19951376300011,698,"CGE, CDEFI",0951376E,ENSEA,EPA,Public,,Ingénieur,,
École nationale supérieure de chimie de Montpellier,19340112200026, ,CDEFI,,ENSCM,,,,,,
"Ecole nationale supérieure de création
  industrielle - Les Ateliers",33111876000015,697,CGE,0754585B,ENSCI Les Ateliers,EPIC,Public,,Autre spécialité,,
"Ecole nationale supérieure de chimie de
  Rennes",19350077400016,694,"CGE, CDEFI",0350077U,ENSC Rennes,EPA,Public,,Ingénieur,,
"Ecole nationale supérieure de chimie de
  Mulhouse",19681166500013,693 ; 1,"CGE, CDEFI, FU",0680097L,ENSC Mulhouse,,Public,,Ingénieur,Universite de Haute Alsace ,
"Ecole nationale supérieure de chimie de
  Montpellier",19340112200010,692,CGE,034 0112 M,ENSC Montpellier,EPSCP,Public,,Ingénieur,,
"Ecole nationale supérieure de chimie de
  Lille",13002975400012,691,CGE,0597139P,ENSC Lille,EPA,Public,,Ingénieur,,
Ecole Nationale Supérieure de Cognitique,13000635600013,887 ; 88,"CGE, CDEFI, FU",033 32 32 J ,ENSC - Bordeaux-INP,,Public,,Ingénieur,,
"Ecole Nationale Supérieure d'Architecture
  de Saint-Etienne",19421614900014,904,CGE,0421614B,ENSASE,EPA,Public,,Autre spécialité,,
"Ecole nationale supérieure d'architecture
  de Nancy",19540135100026,682,CGE,0540135D,ENSarchitecture de Nancy,EPA,Public,,Autre spécialité,,
"Ecole Nationale Supérieure d’Architecture
  de Paris-Malaquais",18009221500011,951,CGE,0751871B,ENSAPM,EPA,Public,ENSA Paris-Malaquais,Autre spécialité,,
"Ecole nationale supérieur d'architecture
  et de Paysage de Bordeaux",19330199100017,966,CGE,0330199M,ENSAP Bordeaux,EPA,Public,ENSAP Bordeaux,Autre spécialité,,
"Ecole Nationale Supérieure des Arts et
  Industries Textiles",19590338000010,686,"CGE, CDEFI",0596477V ,ENSAIT,EPSCP,Public,,Ingénieur,,
"Ecole nationale supérieure d'agronomie et
  des industries alimentaires",13001550600277,685,"CGE, CDEFI",0540109A,ENSAIA,,Public,,Ingénieur,,
"Ecole nationale de la statistique et de
  l'analyse de l'information",13001422800055,684,"CGE, CDEFI",0352480F,ENSAI,EPSCP,Public,,Ingénieur,,
"Ecole nationale de la statistique et de
  l'administration économique Paris",13001422800051,683,"CGE, CDEFI",0912381U,ENSAE Paris,EPSCP,Public,,Ingénieur,,
"Ecole Nationale Supérieure des Arts
  Décoratifs à Paris",19753470400014,871,CGE,0753470P,ENSAD,EPA,Public,,Autre spécialité,,
"Ecole nationale supérieure d'architecture
  de Paris-Belleville",19751877200037,895,CGE,0751877H,ENSA-PB,EPA,Public,,Autre spécialité,,
"École nationale supérieure d'architecture
  de Versailles",19780412300028,949,CGE,0780412Z,ÉNSA Versailles,EPA,Public,,Autre spécialité,,
"Ecole Nationale Supérieure d'Architecture
  de Strasbourg",19670186600010,968,CGE,0670186N,ENSA Strasbourg,EPA,Public,ENSAS,Autre spécialité,,
ENSA Paris Val de Seine,18009220700013,957,CGE,0754540C,ENSA PVS,EPA,Public,ENSA PVS,Autre spécialité,,
"École nationale supérieure d'architecture
  de Nantes",19440104800021,964,CGE,044 010 4 Z,ensa Nantes,EPA,Public,ensa Nantes,Autre spécialité,,
"Ecole Nationale Supérieure d'Architecture
  de Lyon",19690184700018,932,CGE,0690184A,ENSA Lyon,,Public,,Autre spécialité,,
"École d’architecture de la ville &
  des territoires Paris-Est",19932230600028,943,CGE,0772551E,ENSA de Paris-Est,EPA,Public,,Autre spécialité,,
Ecole normale supérieure de Rennes,37832751400014,919,CGE,0352440M,ENS Rennes,EPSCP,Public,,Autre spécialité,,
Ecole normale supérieure Paris-Saclay,19940607500036,680 ; 11,"CGE, FU",0912423P,ENS Paris-Saclay,EPSCP,Public,,Autre spécialité,,
Ecole normale supérieure,19753459700012,679 ; 54,"CGE, FU",0753455Y,ENS,EPSCP,Public,,Autre spécialité,,
École nationale des ponts et chaussées,19753501600020,646,"CGE, CDEFI",0772517T;0753501Y,ENPC,EPSCP,Public,,Ingénieur,,
Ecole nationale d'ingénieurs de Tarbes,19650048200019,674,"CGE, CDEFI",06511245V,ENI Tarbes,EPSCP,Public,,Ingénieur,,
